month,revenue
2023-09,1355354
2023-10,1312282
2023-11,1435002
2023-12,1501407
2024-01,1605206
2024-02,1794314
2024-03,1722326
2024-04,1769828
2024-05,1786339
2024-06,1635886
2024-07,1599259
2024-08,1568240
2024-09,1561235
2024-10,1531318
2024-11,1688488
2024-12,1879219
2025-01,1802980
2025-02,2056369
2025-03,2053731
2025-04,1998619
2025-05,2139343
2025-06,1978412
2025-07,1774855
2025-08,1807316
2025-09,1833769
2025-10,1833939
2025-11,1989603
2025-12,2065156
2026-01,2250923
2026-02,2419525
2026-03,2304123
2026-04,2375936
2026-05,2269639
2026-06,2233461
2026-07,2048901
2026-08,2037853
